player_name,club,league,season,games_played,minutes_played,goals,xg,assists,xa,shots,key_passes,yellow_cards,red_cards,non_penalty_goals,npxg,xg_per90,xa_per90,npxg_per90
Marco Sala,"Como,Lecce",serie_a,2024,10,325,0,0.0,0,0.4168045446276665,0,2,3,0,0,0.0,0.0,0.115,0.0
Andrés García,Aston Villa,epl,2024,7,325,0,0.0354386642575264,0,0.2688065897673368,2,3,0,0,0,0.0354386642575264,0.01,0.074,0.01
Juan Castillo I,Nizhny Novgorod,rfpl,2024,11,325,0,0.3514905469492078,0,0.2813959941267967,7,3,1,0,0,0.3514905469492078,0.097,0.078,0.097
Endrick,Real Madrid,la_liga,2024,22,324,1,2.928210226818919,0,0.664036899805069,24,5,1,0,1,2.928210226818919,0.813,0.184,0.813
Silvère Ganvoula,Monza,serie_a,2024,7,324,0,0.3896697089076042,0,0.1397376507520675,4,1,0,0,0,0.3896697089076042,0.108,0.039,0.108
Benoit Badiashile Mukinayi,Chelsea,epl,2024,5,323,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Maximilian Breunig,FC Heidenheim,bundesliga,2024,13,322,2,3.002769211307168,0,0.1914702635258436,11,4,0,0,1,2.244992533698678,0.839,0.054,0.627
Sergi Guardiola,Rayo Vallecano,la_liga,2024,16,321,0,2.3129940032958984,0,0.1707483734935522,11,5,1,0,0,2.3129940032958984,0.649,0.048,0.649
Giovanni Reyna,Borussia Dortmund,bundesliga,2024,16,321,2,0.1583574116230011,0,0.4603080227971077,3,2,3,0,2,0.1583574116230011,0.044,0.129,0.044
Harvey Elliott,Liverpool,epl,2024,18,320,1,1.6678786408156157,2,1.2793736029416325,17,10,1,0,1,1.6678786408156157,0.469,0.36,0.469
Andrea Petagna,Monza,serie_a,2024,13,319,0,0.2489668056368827,0,0.0414404720067977,4,1,1,0,0,0.2489668056368827,0.07,0.012,0.07
Andrés Gómez,Rennes,ligue_1,2024,17,318,3,1.506884654983878,0,0.1930977404117584,9,5,1,0,3,1.506884654983878,0.426,0.055,0.426
Enzo Le Fée,Roma,serie_a,2024,6,317,0,0.1899425163865089,0,0.1334311068058014,4,3,1,0,0,0.1899425163865089,0.054,0.038,0.054
Sidiki Chérif,Angers,ligue_1,2024,7,316,0,0.6688119219616055,0,0.1973147243261337,5,2,0,0,0,0.6688119219616055,0.19,0.056,0.19
Álex Padilla,Athletic Club,la_liga,2024,5,315,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ryan Fraser,Southampton,epl,2024,8,314,0,0.0251516010612249,0,0.1558907814323902,1,2,0,1,0,0.0251516010612249,0.007,0.045,0.007
Emil Krafth,Newcastle United,epl,2024,12,314,0,0.0276889540255069,0,0.0589407011866569,1,1,2,0,0,0.0276889540255069,0.008,0.017,0.008
Armando Broja,Everton,epl,2024,10,314,0,0.1044619902968406,0,0.174777690321207,4,4,1,0,0,0.1044619902968406,0.03,0.05,0.03
Callum Wilson,Newcastle United,epl,2024,18,313,0,0.7507430538535118,0,0.1887170672416687,6,3,1,0,0,0.7507430538535118,0.216,0.054,0.216
Dmitri Tikhiy,Nizhny Novgorod,rfpl,2024,4,313,0,0.3737159930169582,0,0.0,3,0,1,0,0,0.3737159930169582,0.107,0.0,0.107
David Alaba,Real Madrid,la_liga,2024,7,312,0,0.0,0,0.0540034137666225,0,1,1,0,0,0.0,0.0,0.016,0.0
