team,player,position,age,caps,goals,club,intl_xg_per_shot,weighted_shots,club_npxg_per90,market_value_m,club_form_estimated,intl_xg_norm,club_form_norm,experience_norm,value_norm,composite_score
Czech Republic,Denis Višinský,Forward,23,2,1,Viktoria Plzeň,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0133,0.0,0.08
Sweden,Taha Ali,Forward,27,2,0,Malmö FF,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0133,0.0,0.08
Brazil,Rayan,Forward,19,2,1,Bournemouth,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0133,0.0,0.08
Spain,Víctor Muñoz,Forward,22,2,1,Osasuna,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0133,0.0,0.08
South Africa,Kamogelo Sebelebele,Forward,23,2,0,Orlando Pirates,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0133,0.0,0.08
Ecuador,Hernán Galíndez,Goalkeeper,39,34,0,Huracán,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.2267,0.0,0.0795
Bosnia and Herzegovina,Amir Hadžiahmetović,Midfielder,29,36,0,Hull City,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.24,0.0,0.079
Australia,Connor Metcalfe,Midfielder,26,36,1,FC St. Pauli,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.24,0.0,0.079
Morocco,Ayoube Amaimouni,Forward,21,1,0,Eintracht Frankfurt,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0067,0.0,0.079
Egypt,Hamza Abdelkarim,Forward,18,1,0,Barcelona,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0067,0.0,0.079
Algeria,Ibrahim Maza,Midfielder,20,16,2,Bayer Leverkusen,0.0,0.0,0.155,0.6,True,0.0,0.1033,0.1067,0.0886,0.0789
Iran,Mohammad Ghorbani,Midfielder,24,16,0,Al Wahda,0.0,0.0,0.117,0.8,False,0.0,0.078,0.1067,0.1108,0.078
New Zealand,Ryan Thomas,Midfielder,31,25,3,PEC Zwolle,0.0,0.0,0.042,0.9,False,0.0,0.028,0.1667,0.121,0.078
Uruguay,Maximiliano Araújo,Midfielder,26,28,3,Sporting CP,0.0,0.0,0.203,0.0,False,0.0,0.1353,0.1867,0.0,0.0779
Iran,Dennis Eckert,Forward,29,0,0,Standard Liège,0.0,0.0,0.182,2.0,False,0.0,0.1213,0.0,0.2072,0.0778
